Gene_acc,Gene_id,logFC,log_AveExpr,FDR,Desc
0,GFP.BLA,0.3133698498461719,16.956732345984378,0.4290884061242552,GFP.BLA
1,Tb05.5K5.100:mRNA-p1;Tb927.5.4450:mRNA-p1,0.3217827990584805,15.925680551815272,1.6514487976007861,"hypothetical protein, conserved"
2,Tb05.5K5.110:mRNA-p1;Tb927.5.4460:mRNA-p1,0.1379811849133432,19.5432632904078,0.36082908235187156,"major vault protein, putative"
3,Tb05.5K5.120:mRNA-p1;Tb927.5.4470:mRNA-p1,0.30463412237598675,16.994244643665485,0.18698117287850577,"hypothetical protein, conserved"
4,Tb05.5K5.130:mRNA-p1;Tb927.5.4480:mRNA-p1,-0.06789614989181914,19.746103121036814,0.13642464235505436,"paraflagellar rod component par4, putative"
5,Tb05.5K5.150:mRNA-p1;Tb927.5.4500:mRNA-p1,-0.2244874884136152,20.84269228543181,0.44297106815168935,"ras-like small GTPase, putative"
6,Tb05.5K5.160:mRNA-p1;Tb927.5.4520:mRNA-p1,-0.0375076528956555,15.996876298118977,0.018921944175911382,Kinetochore interacting protein 1
8,Tb05.5K5.20:mRNA-p1;Tb927.5.4360:mRNA-p1,-0.019080626759269137,15.834839116183952,0.01623009057433279,"hypothetical protein, conserved"
9,Tb05.5K5.200:mRNA-p1;Tb11.v5.0409.1-p1;Tb927.5.4560:mRNA-p1,0.11950989891722585,20.353210334898172,0.40565243153948216,"guanine deaminase, putative"
10,Tb05.5K5.210:mRNA-p1,-0.019713066819839753,18.448833651656386,0.029477966829967922,hypothetical protein
11,Tb05.5K5.220:mRNA-p1;Tb927.5.4580:mRNA-p1,-0.09000067628017305,17.272635487546836,0.07922242092210847,Flagellum adhesion protein 3
12,Tb05.5K5.240:mRNA-p1;Tb11.v5.0367.1-p1;Tb927.5.4600:mRNA-p1,0.08795906039737034,16.93775992787806,0.08080500079668378,"expression site-associated gene 3 (ESAG3) protein, putative"
13,Tb05.5K5.30:mRNA-p1;Tb927.5.4380:mRNA-p1,-0.06747942453869626,19.747447146955846,0.2095513664195315,Kinetoplastid-specific Protein Phosphatase 1
14,Tb05.5K5.50:mRNA-p1;Tb927.5.4400:mRNA-p1,-0.04484322988211886,17.756915039003175,0.031192982649940495,"hypothetical protein, conserved"
15,Tb05.5K5.60:mRNA-p1;Tb927.5.4410:mRNA-p1,0.385452339298876,16.936315299360913,2.698663798762208,"hypothetical protein, conserved"
16,Tb05.5K5.70:mRNA-p1;Tb927.5.4420:mRNA-p1,0.2170956993506259,20.82987803886023,0.8143310980046898,"nucleolar RNA helicase II, putative"
17,Tb05.5K5.80:mRNA-p1;Tb927.5.4430:mRNA-p1,-0.8518418151777531,17.137212831701056,1.1693720312776699,"calcium/calmodulin-dependent protein kinase, putative"
18,Tb05.5K5.90:mRNA-p1;Tb927.5.4440:mRNA-p1,-0.7980471971235339,17.080564621771593,0.869080153861637,"dynein light chain, putative"
20,Tb06.3A7.960:mRNA-p1,-0.12389952067270826,18.424775255731568,0.2453508749368147,hypothetical protein
21,Tb07.11L3.100:mRNA-p1;Tb927.7.2150:mRNA-p1,0.32652524075480294,15.174450074647103,0.40992309363957913,SUMO-interacting motif-containing protein
22,Tb07.11L3.90:mRNA-p1;Tb927.7.2140:mRNA-p1,0.08154901933187375,17.541803479039217,0.37259811733477727,"zinc finger protein family member, putative"
23,Tb08.27P2.110:mRNA-p1;Tb927.8.480:mRNA-p1,0.9585456091358058,16.660246173503513,1.2282705041412454,"phosphatidic acid phosphatase protein, putative"
26,Tb09.v4.0013:mRNA-p1,-0.06554234793223301,19.633459502464582,0.011254933740275972,"retrotransposon hot spot (RHS) protein, putative"
27,Tb09.v4.0014:mRNA-p1;Tb09.v4.0110:mRNA-p1;Tb927.9.15850:mRNA-p1,0.22276232466932022,15.957062567334448,0.42290172034957335,hypothetical protein
28,Tb09.v4.0015:mRNA-p1,-0.39898503685759046,15.294611338820026,0.49421757682222156,hypothetical protein
29,Tb09.v4.0016:mRNA-p1;Tb11.v5.0463.1-p1,0.09961332849124815,17.29579641415816,0.13276078389789137,"expression site-associated gene (ESAG) protein, putative"
34,Tb09.v4.0119:pseudogenic_transcript-p1,-2.7992447273459593,12.072042746628053,4.233539233397549,"variant surface glycoprotein (VSG, pseudogene), putative"
35,Tb09.v4.0150:pseudogenic_transcript-p1,-0.5060241445510059,15.971772156899648,1.4213729181925419,"variant surface glycoprotein (VSG, pseudogene), putative"
36,Tb09.v4.0160:pseudogenic_transcript-p1,-0.4149931739405339,16.770654156271863,0.20091743822350658,"expression site-associated gene 3 (ESAG3, pseudogene), putative"
38,Tb10.v4.0033:mRNA-p1;Tb927.10.4430:mRNA-p1,0.30452039024267563,16.64523524131727,1.5255304124267952,pumillo RNA binding protein PUF1
39,Tb10.v4.0034:mRNA-p1;Tb927.10.4440:mRNA-p1,0.07328616703069457,15.983437597604594,0.19744559997351327,predicted SAP domain protein
40,Tb10.v4.0035:mRNA-p1;Tb927.10.4450:mRNA-p1,0.04741197958374954,19.995875071396974,0.10681605034371117,"stress-inducible protein STI1-like, putative"
41,Tb10.v4.0036:mRNA-p1;Tb927.10.4460:mRNA-p1,-0.09109796655299007,17.78925782401397,0.15838140214229038,"leucine carboxyl methyltransferase, putative"
42,Tb10.v4.0037:mRNA-p1;Tb927.10.4470:mRNA-p1,0.10196514691402214,17.146423135243865,0.4370506042791004,"hypothetical protein, conserved"
44,Tb10.v4.0039:mRNA-p1;Tb927.10.4490:mRNA-p1,-0.6426866962002968,17.58564863795424,1.9002049279230009,"hypothetical protein, conserved"
45,Tb10.v4.0040:mRNA-p1;Tb927.10.4500:mRNA-p1,-0.04846051638745763,17.592971110845696,0.04208159788791039,cap guanine-N7 methyltransferase
46,Tb10.v4.0041:mRNA-p1,0.1349656286608365,18.318067978428232,0.3524590713987193,"PUB domain containing protein, putative"
47,Tb10.v4.0043:mRNA-p1;Tb11.v5.1012.1-p1;Tb927.10.4330:mRNA-p1,-0.28433581717175116,15.776911954636105,0.6615802577209403,"2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor, putative"
48,Tb10.v4.0044:mRNA-p1;Tb927.10.4320:mRNA-p1,0.08516857365688679,15.307643035852777,0.31099569903936186,"hypothetical protein, conserved"
49,Tb10.v4.0045:mRNA-p1;Tb927.10.4310:mRNA-p1,0.1256946763176785,18.669499211954477,0.3216831851023025,"prohibitin 2, putative"
